CommBench Pro Test Report
Generated: 2026-07-10T16:17:36.680
Mode: TCP Network
Config: 172.16.32.231:10160

Summary
Total Sent: 394
Success Received: 394
Lost Packets: 0
Success Rate: 100.00%
Average Elapsed: 40.39 ms
Min Elapsed: 13 ms
Max Elapsed: 108 ms

Packet Details
ID,SentAt,ReceivedAt,ElapsedMs,Status,TX,RX
77,2026-07-10T16:12:19.247,2026-07-10T16:12:19.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
78,2026-07-10T16:12:20.247,2026-07-10T16:12:20.268,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
79,2026-07-10T16:12:21.246,2026-07-10T16:12:21.270,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
80,2026-07-10T16:12:22.243,2026-07-10T16:12:22.276,33,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
81,2026-07-10T16:12:23.247,2026-07-10T16:12:23.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
82,2026-07-10T16:12:24.247,2026-07-10T16:12:24.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
83,2026-07-10T16:12:25.247,2026-07-10T16:12:25.271,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
84,2026-07-10T16:12:26.247,2026-07-10T16:12:26.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
85,2026-07-10T16:12:27.246,2026-07-10T16:12:27.275,29,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
86,2026-07-10T16:12:28.247,2026-07-10T16:12:28.277,29,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
87,2026-07-10T16:12:29.248,2026-07-10T16:12:29.279,31,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
88,2026-07-10T16:12:30.248,2026-07-10T16:12:30.275,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
89,2026-07-10T16:12:31.249,2026-07-10T16:12:31.273,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
90,2026-07-10T16:12:32.246,2026-07-10T16:12:32.280,34,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
